Type,Loliginidae,Portunidae,Penaeidae,Nematoda,Clupeidae,Grapsidae,Scombridae,Mysidae,Squillidae,Cynoglossidae,Carangidae,Engraulidae,Ephippidae,Polychaete,Elopidae,Trichiuridae
Pelagic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelagic,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Benthic,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Pelagic,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Pelagic,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0
Pelagic,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Pelagic,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
Benthic,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Benthic,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Benthic,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Benthic,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Benthic,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Benthic,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Pelagic,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Pelagic,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Benthic,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Benthic,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Benthic,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Benthic,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pelagic,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Benthic,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Benthic,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
Benthic,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelagic,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Benthic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Benthic,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Benthic,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Pelagic,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Pelagic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelagic,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Benthic,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Benthic,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Pelagic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pelagic,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Benthic,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Benthic,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
