Shark_ID,gc_ID,Shark Species,Prey Family,Number,Weight_gms
CLM05,CLM05.1,Carcharhinus limbatus,Loliginidae,2,3.24
CGF01,CGF01.1,Chiloscyllium griseum,Portunidae,2,4.86
SLF04,SLF04.1,Scoliodon laticaudus,Loliginidae,1,1.36
SLF04,SLF04.2,Scoliodon laticaudus,Penaeidae,2,3.55
SLF05,SLF05.1,Scoliodon laticaudus,Loliginidae,1,1.08
SLF05,SLF05.2,Scoliodon laticaudus,Cynoglossidae,1,2.02
SLF05,SLF05.3,Scoliodon laticaudus,Squillidae,1,2.58
SLF05,SLF05.4,Scoliodon laticaudus,Ephippidae,1,1.25
SLF06,SLF06.1,Scoliodon laticaudus,Loliginidae,2,2.16
SLF06,SLF06.2,Scoliodon laticaudus,Penaeidae,1,1.55
CGM05,CGM05.1,Chiloscyllium griseum,Nematoda,9,0.1
CGM05,CGM05.2,Chiloscyllium griseum,Clupeidae,1,1.02
SLM08,SLM08.1,Scoliodon laticaudus,Penaeidae,1,1.08
SLM11,SLM11.1,Scoliodon laticaudus,Loliginidae,2,1.53
SLM11,SLM11.2,Scoliodon laticaudus,Grapsidae,1,0.36
CLF09,CLF09.1,Carcharhinus limbatus,Clupeidae,1,26.83
CLF09,CLF09.2,Carcharhinus limbatus,Loliginidae,1,3.16
CLF09,CLF09.3,Carcharhinus limbatus,Penaeidae,2,0.25
SLF14, SLF14.1,Scoliodon laticaudus,Penaeidae,2,8.02
CAF12,CAF12.2,Chiloscyllium arabicum,Nematoda,18,0.32
CAM13,CAM13.1,Chiloscyllium arabicum,Loliginidae,1,0.1
CAF17,CAF17.1,Chiloscyllium arabicum,Penaeidae,1,0.12
CAF17,CAF17.2,Chiloscyllium arabicum,Cynoglossidae,2,0.23
CAF17,CAF17.3,Chiloscyllium arabicum,Loliginidae,1,0.2
CAF17,CAF17.4,Chiloscyllium arabicum,Nematoda,11,0.16
CAF18,CAF18.1,Chiloscyllium arabicum,Loliginidae,2,1.45
CAF19,CAF19.1,Chiloscyllium arabicum,Loliginidae,1,0.48
CAF19,CAF19.2,Chiloscyllium arabicum,Nematoda,1,0.1
CAM20,CAM20.1,Chiloscyllium arabicum,Loliginidae,3,5.36
CAM20,CAM20.2,Chiloscyllium arabicum,Squillidae,2,1.15
CAF21,CAF21.2,Chiloscyllium arabicum,Loliginidae,1,0.27
CLM12,CLM12.1,Carcharhinus limbatus,Scombridae,2,152.57
CLF14,CLF14.1,Carcharhinus limbatus,Loliginidae,2,0.51
CLF14,CLF14.2,Carcharhinus limbatus,Penaeidae,2,0.2
CLF19,CLF19.1,Carcharhinus limbatus,Clupeidae,2,8.03
CLF19,CLF19.2,Carcharhinus limbatus,Loliginidae,3,10.3
CAF25,CAF25.1,Chiloscyllium arabicum,Squillidae,7,4.99
CAF25,CAF25.2,Chiloscyllium arabicum,Mysidae,6,2.3
CAM26,CAM26.1,Chiloscyllium arabicum,Portunidae,5,3.53
CAM26,CAM26.2,Chiloscyllium arabicum,Loliginidae,1,0.21
CAM26,CAM26.3,Chiloscyllium arabicum,Squillidae,1,0.45
CAM26,CAM26.4,Chiloscyllium arabicum,Nematoda,12,0.16
CGF27,CGF27.1,Chiloscyllium griseum,Squillidae,1,7.42
CGF27,CGF27.3,Chiloscyllium griseum,Loliginidae,1,0.35
CGF29,CGF29.1,Chiloscyllium griseum,Loliginidae,1,0.3
SLF21,SLF21.1,Scoliodon laticaudus,Penaeidae,1,2.2
CGM32,CGM32.1,Chiloscyllium griseum,Penaeidae,1,2.35
CGF35,CGF35.1,Chiloscyllium griseum,Loliginidae,1,4.2
CGF35,CGF35.2,Chiloscyllium griseum,Penaeidae,1,1.1
CGF35,CGF35.3,Chiloscyllium griseum,Nematoda,6,0.11
CAF38,CAF38.1,Chiloscyllium arabicum,Loliginidae,1,0.12
SLM29,SLM29.1,Scoliodon laticaudus,Penaeidae,4,3.89
SLM29,SLM29.2,Scoliodon laticaudus,Loliginidae,1,4.3
SLF30,SLF30.1,Scoliodon laticaudus,Loliginidae,2,3.56
